time,cds
54567,399
54579,399
54590,399
54601,399
54612,398
54624,399
54636,399
54647,398
54659,398
54670,398
54681,398
54692,398
54705,398
54716,398
54727,398
54738,398
54750,398
54762,398
54773,398
54785,399
54796,398
54807,398
54818,398
54831,399
54842,399
54853,398
54864,398
54876,398
54887,398
54899,399
54910,399
54922,400
54933,399
54944,399
54956,399
54968,399
54979,399
54990,400
55002,399
55013,443
55024,468
55036,447
55048,416
55059,406
55070,403
55081,401
55094,401
55105,400
55116,400
55128,400
55139,399
55150,399
55162,399
55174,398
55185,397
55196,397
55207,397
55219,397
55231,396
55242,396
55254,396
55265,396
55276,396
55287,396
55300,396
55311,396
55322,396
55333,397
55345,396
55356,396
55368,396
55379,396
55391,396
55402,396
55413,397
55425,396
55437,396
55448,396
55459,396
55471,396
55482,396
55494,396
55505,396
55517,396
55528,397
55539,396
55550,396
55563,396
55574,396
55585,441
55597,464
55608,439
55619,411
55631,403
55643,399
55654,398
55665,397
55676,397
55688,396
55700,396
55711,397
55723,396
55734,396
55745,396
55756,396
55769,396
55780,396
55791,396
55802,397
55814,396
55826,396
55837,396
55848,396
55860,396
55871,396
55882,396
55895,396
55906,396
55917,396
55928,396
55940,395
55951,395
55963,396
55974,395
55986,395
55997,396
56008,395
56019,395
56032,395
56043,395
56054,395
56066,395
56077,395
56088,396
56100,396
56112,395
56123,442
56134,463
56145,434
56157,409
56169,402
56180,399
56192,397
56203,397
56214,396
56226,396
56238,396
56249,396
56260,396
56271,395
56283,396
56295,395
56306,396
56317,396
56329,395
56340,396
56351,395
56364,396
56375,396
56386,395
56397,396
56409,395
56420,395
56432,395
56443,396
56455,395
56466,396
56477,396
56488,397
56501,396
56512,396
56523,396
56535,396
56546,396
56558,396
56569,396
56581,396
56592,397
56603,396
56614,396
56627,396
56638,397
56649,396
56660,396
56672,396
56683,397
56695,445
56707,465
56718,433
56729,409
56740,402
56752,399
56764,398
56775,397
56786,397
56798,396
56809,396
56820,396
56833,395
56844,396
56855,395
56866,395
56878,396
56889,395
56901,396
56912,395
56924,395
56935,395
56946,395
56958,395
56970,396
56981,396
56992,396
57004,395
57015,395
57027,395
57038,395
57050,395
57061,396
57072,395
57083,395
57096,395
57107,395
57118,395
57129,395
57141,396
57152,395
57164,395
57176,397
57187,395
57198,396
57209,395
57221,398
57233,447
57244,465
57255,429
57267,408
57278,402
57290,399
57302,398
57313,397
57324,397
57335,396
57347,396
57359,397
57370,396
57381,396
57393,396
57404,396
57415,396
57427,396
57439,396
57450,396
57461,396
57473,397
57484,396
57496,396
57507,396
57519,396
57530,396
57541,395
57552,396
57565,395
57576,396
57587,396
57598,395
57610,395
57621,396
57633,396
57645,396
57656,396
57667,396
57678,396
57691,396
57702,397
57713,396
57724,396
57736,396
57747,396
57759,396
57771,397
57782,396
57793,401
57804,448
57816,466
57828,428
57839,407
57850,401
57862,398
57873,397
57884,397
57896,396
57908,396
57919,396
57930,396
57942,396
57953,396
57965,396
57976,396
57988,396
57999,396
58010,396
58022,396
58034,396
58045,396
58056,397
58067,396
58079,396
58091,396
58102,396
58114,396
58125,396
58136,396
58147,396
58160,397
58171,396
58182,396
58193,396
58205,396
58216,396
58228,396
58240,396
58251,397
58262,396
58273,396
58285,396
58297,396
58308,396
58319,396
58331,406
58342,450
58353,469
58365,426
58377,408
58388,401
58399,399
58411,398
58423,397
58434,397
58445,398
58457,397
58468,397
58479,396
58491,396
58503,396
58514,396
58525,396
58536,396
58548,396
58560,396
58571,396
58583,396
58594,397
58605,396
58616,396
58629,396
58640,396
58651,396
58662,395
58674,396
58685,396
58697,396
58708,396
58720,396
58731,396
58742,397
58755,396
58766,396
58777,396
58788,396
58800,397
58811,396
58823,396
58834,396
58846,397
58857,396
58868,396
58880,396
58892,396
58903,411
58914,451
58926,469
58937,426
58948,407
58960,401
58972,399
58983,398
58994,397
59005,397
59017,397
59029,397
59040,397
59052,396
59063,396
59074,396
59085,396
59098,395
59109,396
59120,396
59131,397
59143,396
59155,396
59166,396
